language,segment_type,n
Northern Mansi,consonant,20
Northern Mansi,vowel,11
Northern Pashto,consonant,47
Northern Pashto,vowel,22
Northern Qiang,consonant,78
Northern Qiang,vowel,60
Northern Thai,consonant,21
Northern Thai,vowel,18
Northern Tosk Albanian,consonant,29
Northern Tosk Albanian,vowel,9
Northern Yukaghir,consonant,20
Northern Yukaghir,vowel,19
Northwestern Kolami,consonant,16
Northwestern Kolami,vowel,10
Norwegian,consonant,24
Norwegian,vowel,16
Nyaw,consonant,39
Nyaw,vowel,34
Occitan,consonant,27
Occitan,vowel,32
Odia,consonant,31
Odia,vowel,11
Oirad-Kalmyk-Darkhat,consonant,23
Oirad-Kalmyk-Darkhat,vowel,16
Paiwan,consonant,21
Paiwan,vowel,4
Palula,consonant,42
Palula,vowel,10
Pampanga,consonant,17
Pampanga,vowel,5
Phu Thai,consonant,41
Phu Thai,vowel,28
Pite Saami,consonant,45
Pite Saami,vowel,9
Pnar,consonant,24
Pnar,vowel,15
Polish,consonant,27
Polish,vowel,8
Portuguese,consonant,21
Portuguese,vowel,20
Pottangi Ollar Gadaba,consonant,19
Pottangi Ollar Gadaba,vowel,20
Poumei Naga,consonant,25
Poumei Naga,vowel,14
Purik-Sham-Nubra,consonant,31
Purik-Sham-Nubra,vowel,6
Rajbanshi,consonant,34
Rajbanshi,vowel,9
Rawang,consonant,20
Rawang,vowel,17
Romanian,consonant,40
Romanian,vowel,11
Romansh,consonant,27
Romansh,vowel,19
Rushani,consonant,29
Rushani,vowel,10
Russia Buriat,consonant,27
Russia Buriat,vowel,18
Russian,consonant,36
Russian,vowel,6
Rusyn,consonant,38
Rusyn,vowel,7
Saek,consonant,23
Saek,vowel,27
Sakha,consonant,20
Sakha,vowel,20
Salar,consonant,31
Salar,vowel,12
Sanglechi,consonant,31
Sanglechi,vowel,11
Santali,consonant,26
Santali,vowel,31
Sarikoli,consonant,29
Sarikoli,vowel,9
Sauria Paharia,consonant,24
Sauria Paharia,vowel,10
Scots,consonant,24
Scots,vowel,13
Scottish Gaelic,consonant,33
Scottish Gaelic,vowel,49
Selkup,consonant,16
Selkup,vowel,25
Serbian Standard,consonant,24
Serbian Standard,vowel,10
Shan,consonant,90
Shan,vowel,62
Shina,consonant,34
Shina,vowel,19
Shixing,consonant,50
Shixing,vowel,41
Shughni,consonant,29
Shughni,vowel,10
Shumashti,consonant,31
Shumashti,vowel,8
Sichuan Yi,consonant,53
Sichuan Yi,vowel,24
Sikkimese,consonant,37
Sikkimese,vowel,31
Sindhi,consonant,93
Sindhi,vowel,27
Skolt Saami,consonant,51
Skolt Saami,vowel,24
Slavomolisano,consonant,29
Slavomolisano,vowel,18
Slovak,consonant,30
Slovak,vowel,15
Slovenian,consonant,22
Slovenian,vowel,15
Solu-Khumbu Sherpa,consonant,68
Solu-Khumbu Sherpa,vowel,35
Sora,consonant,18
Sora,vowel,8
South Azerbaijani,consonant,24
South Azerbaijani,vowel,9
South Estonian,consonant,26
South Estonian,vowel,18
Southeast Pashayi,consonant,29
Southeast Pashayi,vowel,13
Southern Balochi,consonant,24
Southern Balochi,vowel,8
Southern Luri,consonant,21
Southern Luri,vowel,11
Southern Pashto,consonant,26
Southern Pashto,vowel,7
Southern Pumi,consonant,43
Southern Pumi,vowel,20
Southern Qiang,consonant,36
Southern Qiang,vowel,30
Southern Thai,consonant,63
Southern Thai,vowel,56
Southern Yukaghir,consonant,20
Southern Yukaghir,vowel,16
Southwest Pashayi,consonant,40
Southwest Pashayi,vowel,12
Spanish,consonant,37
Spanish,vowel,33
Spiti Bhoti,consonant,33
Spiti Bhoti,vowel,10
Standard Latvian,consonant,26
Standard Latvian,vowel,18
Sui,consonant,46
Sui,vowel,24
Svan,consonant,30
Svan,vowel,17
Swedish,consonant,18
Swedish,vowel,17
Tagalog,consonant,21
Tagalog,vowel,5
Tai Daeng,consonant,20
Tai Daeng,vowel,20
Tai Do-Mene-Yo,consonant,21
Tai Do-Mene-Yo,vowel,19
Tai Nüa,consonant,19
Tai Nüa,vowel,16
Taiga Sayan Turkic,consonant,28
Taiga Sayan Turkic,vowel,39
Tajik,consonant,23
Tajik,vowel,6
Takestani,consonant,23
Takestani,vowel,14
Tamil,consonant,24
Tamil,vowel,12
Tatar,consonant,29
Tatar,vowel,14
Tausug,consonant,20
Tausug,vowel,3
Telugu,consonant,35
Telugu,vowel,12
Temiar,consonant,19
